"Unnamed 1",rád(a),"chcem priorita 2",neviem,neviem,môžem,"chcem priorita 4",môžem,"chcem priorita 3","chcem priorita 1",neviem,neviem,neviem,1,0.8
"Unnamed 2",môžem,môžem,rád(a),neviem,môžem,môžem,môžem,"chcem priorita 2","chcem priorita 1",môžem,nechcem,neviem,1,0.2
"Unnamed 3",môžem,rád(a),"chcem priorita 3","chcem priorita 1",môžem,môžem,môžem,môžem,môžem,"chcem priorita 4","chcem priorita 2",rád(a),0.1,0.1
"Unnamed 4",môžem,"chcem priorita 4","chcem priorita 2",neviem,môžem,môžem,môžem,"chcem priorita 3","chcem priorita 1",neviem,neviem,neviem,1,0.4
"Unnamed 5",môžem,"chcem priorita 3","chcem priorita 4",neviem,nechcem,môžem,môžem,"chcem priorita 2","chcem priorita 1",neviem,neviem,neviem,1,1
"Unnamed 6",rád(a),"chcem priorita 2",neviem,neviem,môžem,môžem,"chcem priorita 3","chcem priorita 1","chcem priorita 4",neviem,neviem,neviem,1,1
"Unnamed 7",môžem,môžem,"chcem priorita 2","chcem priorita 1",nechcem,nechcem,nechcem,nechcem,neviem,neviem,neviem,neviem,1,1
"Unnamed 8","chcem priorita 1",môžem,neviem,neviem,môžem,môžem,rád(a),"chcem priorita 3","chcem priorita 2",neviem,neviem,neviem,1,0.7
"Unnamed 9",rád(a),môžem,rád(a),"chcem priorita 1",môžem,môžem,rád(a),môžem,rád(a),môžem,rád(a),rád(a),1,1
"Unnamed 10",môžem,"chcem priorita 2","chcem priorita 1",neviem,môžem,môžem,môžem,"chcem priorita 3","chcem priorita 4",neviem,neviem,neviem,1,1
"Unnamed 11",rád(a),rád(a),"chcem priorita 2","chcem priorita 1",rád(a),nechcem,môžem,nechcem,môžem,môžem,"chcem priorita 4","chcem priorita 3",1,1
"Unnamed 12",rád(a),"chcem priorita 1","chcem priorita 2",neviem,môžem,môžem,nechcem,môžem,nechcem,nechcem,nechcem,nechcem,1,1
"Unnamed 13",môžem,rád(a),"chcem priorita 2","chcem priorita 1",môžem,môžem,môžem,môžem,môžem,môžem,nechcem,neviem,1,1
"Unnamed 14",môžem,môžem,"chcem priorita 2","chcem priorita 1",môžem,môžem,môžem,môžem,neviem,nechcem,neviem,nechcem,1,1
"Unnamed 15",rád(a),môžem,"chcem priorita 1",neviem,rád(a),rád(a),môžem,"chcem priorita 2",neviem,neviem,neviem,neviem,0.1,0.1
"Unnamed 16",môžem,"chcem priorita 2","chcem priorita 1",neviem,môžem,môžem,nechcem,"chcem priorita 4","chcem priorita 3",neviem,neviem,neviem,1,0.8
"Unnamed 17",rád(a),"chcem priorita 1",neviem,neviem,môžem,"chcem priorita 4",rád(a),"chcem priorita 2",neviem,neviem,neviem,neviem,1,0.7
"Unnamed 18",rád(a),"chcem priorita 1",môžem,neviem,rád(a),rád(a),môžem,rád(a),"chcem priorita 2",neviem,neviem,neviem,1,1
"Unnamed 19",môžem,"chcem priorita 1","chcem priorita 4",neviem,nechcem,môžem,rád(a),rád(a),"chcem priorita 2","chcem priorita 3",neviem,neviem,1,1
"Unnamed 20",rád(a),"chcem priorita 4","chcem priorita 1",môžem,môžem,nechcem,môžem,môžem,rád(a),"chcem priorita 3","chcem priorita 2",neviem,1,1
"Unnamed 21",môžem,"chcem priorita 2","chcem priorita 1",neviem,môžem,rád(a),"chcem priorita 4","chcem priorita 3",rád(a),neviem,neviem,neviem,1,1
"Unnamed 22",rád(a),"chcem priorita 1",neviem,neviem,môžem,"chcem priorita 4","chcem priorita 2","chcem priorita 3",neviem,neviem,neviem,neviem,1,1
"Unnamed 23","chcem priorita 3","chcem priorita 2","chcem priorita 1","chcem priorita 4",môžem,nechcem,nechcem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 24","chcem priorita 3","chcem priorita 2","chcem priorita 1","chcem priorita 4",môžem,nechcem,nechcem,neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 25",môžem,rád(a),rád(a),neviem,môžem,rád(a),môžem,rád(a),môžem,môžem,neviem,neviem,0.01,0.01
"Unnamed 26",môžem,môžem,"chcem priorita 1",neviem,môžem,môžem,môžem,môžem,môžem,môžem,neviem,neviem,1,1
"Unnamed 27",nechcem,rád(a),"chcem priorita 2","chcem priorita 2",nechcem,rád(a),nechcem,rád(a),môžem,"chcem priorita 2",nechcem,nechcem,1,0.8
"Unnamed 28",môžem,môžem,rád(a),neviem,môžem,môžem,môžem,môžem,môžem,môžem,môžem,"chcem priorita 1",0.01,1
"Unnamed 29",môžem,"chcem priorita 4","chcem priorita 3",neviem,môžem,rád(a),môžem,rád(a),rád(a),"chcem priorita 1","chcem priorita 2",neviem,1,1
"Unnamed 30",môžem,môžem,rád(a),"chcem priorita 1",nechcem,môžem,nechcem,môžem,môžem,rád(a),rád(a),neviem,1,1
"Unnamed 31",môžem,môžem,môžem,"chcem priorita 1",môžem,nechcem,nechcem,nechcem,nechcem,nechcem,nechcem,nechcem,1,1
"Unnamed 32",rád(a),môžem,rád(a),"chcem priorita 1",nechcem,môžem,nechcem,môžem,nechcem,neviem,neviem,neviem,1,1
"Unnamed 33",rád(a),"chcem priorita 3","chcem priorita 2","chcem priorita 1",môžem,nechcem,nechcem,nechcem,nechcem,nechcem,nechcem,môžem,1,1
"Unnamed 34",rád(a),"chcem priorita 4","chcem priorita 1",neviem,môžem,rád(a),môžem,"chcem priorita 2",rád(a),"chcem priorita 3",neviem,neviem,1,1
"Unnamed 35",rád(a),"chcem priorita 3","chcem priorita 1",neviem,môžem,rád(a),môžem,"chcem priorita 4",rád(a),"chcem priorita 2",neviem,neviem,1,1
"Unnamed 36",rád(a),"chcem priorita 1",neviem,neviem,môžem,"chcem priorita 3","chcem priorita 2",neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 37",rád(a),"chcem priorita 1",neviem,neviem,môžem,"chcem priorita 3","chcem priorita 2",neviem,neviem,neviem,neviem,neviem,1,0.8
"Unnamed 38",rád(a),"chcem priorita 1",môžem,neviem,"chcem priorita 2","chcem priorita 1","chcem priorita 1","chcem priorita 1",neviem,neviem,neviem,neviem,1,1
"Unnamed 39",rád(a),"chcem priorita 2",neviem,neviem,rád(a),"chcem priorita 1","chcem priorita 3",neviem,neviem,neviem,neviem,neviem,1,1
"Unnamed 40",rád(a),rád(a),"chcem priorita 3","chcem priorita 1",môžem,môžem,môžem,môžem,môžem,rád(a),môžem,"chcem priorita 2",1,1
"Unnamed 41",rád(a),"chcem priorita 4","chcem priorita 3",neviem,rád(a),môžem,môžem,rád(a),rád(a),"chcem priorita 1","chcem priorita 2",neviem,1,0.8
